TRIG,particles,simulation_id,composition,energy,particles_normalized
TRIG2,6,42,Carbon,1E15,0.0032808398950131233
TRIG2,287,248,Photon,3.16E15,0.18766404199475065
TRIG1,349,206,Proton,3.16E15,0.22834645669291337
TRIG1,2,70,Proton,3.16E14,0.0006561679790026247
TRIG1,4,232,Oxygen,3.16E14,0.001968503937007874
TRIG1,158,285,Proton,3.16E15,0.10301837270341208
TRIG3,3,865,Proton,3.16E14,0.0013123359580052493
TRIG1,6,148,Photon,3.16E14,0.0032808398950131233
TRIG3,57,52,Nitrogen,1E15,0.03674540682414698
TRIG3,10,137,Oxygen,1E15,0.005905511811023622
TRIG2,8,332,Iron,1E15,0.004593175853018373
TRIG2,3,478,Proton,1E15,0.0013123359580052493
TRIG2,7,303,Carbon,1E15,0.003937007874015748
TRIG1,380,807,Photon,1E15,0.24868766404199474
TRIG3,2,91,Carbon,1E14,0.0006561679790026247
TRIG2,1,37,Nitrogen,1E15,0.0
TRIG1,31,388,Photon,1E15,0.01968503937007874
TRIG3,8,26,Photon,3.16E15,0.004593175853018373
TRIG2,6,200,Oxygen,1E15,0.0032808398950131233
TRIG1,31,282,Carbon,1E15,0.01968503937007874
TRIG2,22,436,Iron,1E15,0.013779527559055118
TRIG3,12,771,Proton,3.16E14,0.007217847769028871
TRIG3,3,729,Proton,1E14,0.0013123359580052493
TRIG2,4,932,Iron,1E15,0.001968503937007874
TRIG2,155,269,Photon,3.16E15,0.1010498687664042
TRIG2,62,90,Oxygen,3.16E15,0.04002624671916011
TRIG2,1,49,Iron,1E15,0.0
TRIG1,37,794,Photon,1E15,0.023622047244094488
TRIG3,2,68,Proton,3.16E15,0.0006561679790026247
TRIG3,1,213,Iron,3.16E15,0.0
TRIG3,3,136,Photon,1E14,0.0013123359580052493
TRIG2,13,248,Carbon,1E15,0.007874015748031496
TRIG3,5,227,Carbon,1E15,0.0026246719160104987
TRIG2,39,814,Iron,1E15,0.024934383202099737
TRIG2,11,586,Photon,1E15,0.006561679790026247
TRIG1,5,930,Proton,1E14,0.0026246719160104987
TRIG1,7,84,Iron,1E15,0.003937007874015748
TRIG2,158,164,Proton,3.16E15,0.10301837270341208
TRIG3,20,112,Proton,1E15,0.012467191601049869
TRIG1,33,188,Oxygen,1E15,0.02099737532808399
TRIG1,27,252,Photon,3.16E14,0.01706036745406824
TRIG3,16,21,Photon,1E15,0.00984251968503937
TRIG1,4,168,Nitrogen,1E15,0.001968503937007874
TRIG3,6,676,Iron,1E15,0.0032808398950131233
TRIG1,5,53,Iron,3.16E15,0.0026246719160104987
TRIG3,3,788,Iron,1E15,0.0013123359580052493
TRIG2,2,259,Nitrogen,1E14,0.0006561679790026247
TRIG2,3,355,Photon,1E15,0.0013123359580052493
TRIG1,39,96,Proton,1E15,0.024934383202099737
TRIG2,4,682,Iron,3.16E14,0.001968503937007874
TRIG3,20,276,Photon,1E15,0.012467191601049869
TRIG2,14,306,Oxygen,1E15,0.00853018372703412
TRIG2,3,792,Proton,3.16E14,0.0013123359580052493
TRIG1,285,98,Photon,3.16E15,0.1863517060367454
TRIG3,5,162,Photon,3.16E14,0.0026246719160104987
TRIG3,3,828,Proton,3.16E14,0.0013123359580052493
TRIG3,68,44,Iron,3.16E15,0.04396325459317585
TRIG1,176,47,Proton,3.16E15,0.11482939632545931
TRIG3,1,116,Nitrogen,1E14,0.0
TRIG3,25,399,Iron,1E15,0.015748031496062992
TRIG2,4,173,Proton,1E15,0.001968503937007874
TRIG2,2,46,Nitrogen,3.16E14,0.0006561679790026247
TRIG3,1,572,Iron,1E15,0.0
TRIG2,17,432,Proton,1E15,0.010498687664041995
TRIG2,5,643,Photon,3.16E14,0.0026246719160104987
TRIG1,59,84,Carbon,1E15,0.03805774278215223
TRIG2,3,85,Oxygen,3.16E15,0.0013123359580052493
TRIG2,2,435,Photon,3.16E14,0.0006561679790026247
TRIG1,21,75,Carbon,3.16E15,0.013123359580052493
TRIG1,17,56,Carbon,3.16E15,0.010498687664041995
TRIG2,21,179,Proton,3.16E14,0.013123359580052493
TRIG2,13,248,Carbon,3.16E14,0.007874015748031496
TRIG3,29,43,Proton,3.16E15,0.01837270341207349
TRIG2,51,371,Photon,1E15,0.03280839895013123
TRIG2,1,933,Iron,3.16E14,0.0
TRIG2,53,968,Photon,1E15,0.03412073490813648
TRIG1,6,981,Proton,1E15,0.0032808398950131233
TRIG1,7,220,Oxygen,1E15,0.003937007874015748
TRIG3,2,851,Proton,3.16E14,0.0006561679790026247
TRIG3,49,66,Carbon,3.16E15,0.031496062992125984
TRIG2,1,115,Carbon,1E15,0.0
TRIG1,19,387,Photon,3.16E14,0.011811023622047244
TRIG2,77,192,Carbon,1E15,0.049868766404199474
TRIG1,3,268,Nitrogen,1E15,0.0013123359580052493
TRIG2,114,47,Oxygen,3.16E15,0.07414698162729659
TRIG3,21,707,Proton,1E15,0.013123359580052493
TRIG3,202,142,Photon,1E15,0.13188976377952755
TRIG1,7,269,Carbon,1E15,0.003937007874015748
TRIG3,3,158,Oxygen,3.16E14,0.0013123359580052493
TRIG1,10,718,Photon,3.16E14,0.005905511811023622
TRIG2,278,59,Proton,3.16E15,0.18175853018372704
TRIG2,5,842,Proton,1E15,0.0026246719160104987
TRIG3,96,287,Proton,3.16E15,0.06233595800524934
TRIG2,1,176,Photon,1E15,0.0
TRIG3,1,894,Proton,1E15,0.0
TRIG2,33,18,Photon,1E15,0.02099737532808399
TRIG2,29,82,Photon,3.16E15,0.01837270341207349
TRIG1,7,147,Iron,1E15,0.003937007874015748
TRIG3,1,207,Oxygen,1E14,0.0
TRIG1,50,615,Photon,1E15,0.03215223097112861
TRIG1,7,394,Proton,3.16E14,0.003937007874015748
TRIG2,56,123,Photon,1E15,0.03608923884514435
TRIG3,5,444,Photon,1E15,0.0026246719160104987
TRIG2,7,665,Proton,3.16E14,0.003937007874015748
TRIG1,3,84,Nitrogen,3.16E15,0.0013123359580052493
TRIG3,53,459,Proton,1E15,0.03412073490813648
TRIG1,49,101,Photon,1E15,0.031496062992125984
TRIG1,2,253,Photon,3.16E14,0.0006561679790026247
TRIG2,9,141,Proton,1E15,0.005249343832020997
TRIG2,7,258,Oxygen,1E15,0.003937007874015748
TRIG1,3,943,Proton,3.16E14,0.0013123359580052493
TRIG3,1,122,Photon,3.16E14,0.0
TRIG3,9,3,Nitrogen,1E15,0.005249343832020997
TRIG1,368,184,Photon,3.16E15,0.24081364829396326
TRIG2,39,362,Photon,1E15,0.024934383202099737
TRIG1,4,449,Iron,1E15,0.001968503937007874
TRIG1,1,262,Proton,1E14,0.0
TRIG2,10,802,Proton,1E14,0.005905511811023622
TRIG3,1,185,Nitrogen,3.16E14,0.0
TRIG1,5,35,Proton,3.16E15,0.0026246719160104987
TRIG1,11,421,Proton,1E14,0.006561679790026247
TRIG1,1,353,Proton,3.16E14,0.0
TRIG2,10,69,Proton,1E15,0.005905511811023622
TRIG1,78,103,Carbon,3.16E15,0.0505249343832021
TRIG3,172,151,Photon,3.16E15,0.11220472440944881
TRIG3,2,462,Proton,3.16E14,0.0006561679790026247
TRIG3,8,100,Oxygen,1E15,0.004593175853018373
TRIG1,2,183,Proton,3.16E14,0.0006561679790026247
TRIG1,4,8,Proton,3.16E14,0.001968503937007874
TRIG1,9,68,Carbon,1E15,0.005249343832020997
TRIG3,44,493,Photon,3.16E14,0.02821522309711286
TRIG1,6,113,Proton,1E14,0.0032808398950131233
TRIG2,1,498,Photon,1E14,0.0
TRIG3,30,133,Photon,1E15,0.019028871391076115
TRIG2,4,163,Oxygen,3.16E14,0.001968503937007874
TRIG3,5,141,Photon,1E14,0.0026246719160104987
TRIG3,3,678,Photon,3.16E14,0.0013123359580052493
TRIG3,1,26,Photon,3.16E14,0.0
TRIG1,774,228,Photon,3.16E15,0.5072178477690289
TRIG3,32,84,Photon,3.16E15,0.020341207349081365
TRIG3,1,208,Oxygen,1E15,0.0
TRIG1,2,821,Iron,1E15,0.0006561679790026247
TRIG2,7,557,Iron,1E15,0.003937007874015748
TRIG2,21,865,Proton,1E15,0.013123359580052493
TRIG1,2,12,Proton,1E14,0.0006561679790026247
TRIG3,3,303,Proton,1E15,0.0013123359580052493
TRIG3,28,221,Iron,3.16E15,0.017716535433070866
TRIG3,17,396,Photon,1E15,0.010498687664041995
TRIG2,4,570,Iron,1E15,0.001968503937007874
TRIG1,70,54,Photon,1E15,0.045275590551181105
TRIG2,7,703,Photon,3.16E14,0.003937007874015748
TRIG2,16,143,Carbon,3.16E14,0.00984251968503937
TRIG3,3,150,Photon,1E14,0.0013123359580052493
TRIG3,28,788,Proton,3.16E14,0.017716535433070866
TRIG3,10,163,Oxygen,1E15,0.005905511811023622
TRIG1,22,4,Oxygen,1E15,0.013779527559055118
TRIG3,6,206,Nitrogen,1E15,0.0032808398950131233
TRIG3,578,204,Photon,3.16E15,0.37860892388451445
TRIG1,58,44,Iron,3.16E15,0.03740157480314961
TRIG3,7,844,Proton,3.16E14,0.003937007874015748
TRIG3,4,174,Proton,3.16E14,0.001968503937007874
TRIG2,12,722,Iron,1E15,0.007217847769028871
TRIG1,9,298,Photon,3.16E14,0.005249343832020997
TRIG2,4,414,Photon,1E14,0.001968503937007874
TRIG3,51,34,Proton,1E15,0.03280839895013123
TRIG1,6,468,Proton,1E15,0.0032808398950131233
TRIG3,53,102,Photon,3.16E15,0.03412073490813648
TRIG3,2,210,Photon,1E15,0.0006561679790026247
TRIG3,185,11,Proton,3.16E15,0.12073490813648294
TRIG3,15,70,Photon,3.16E15,0.009186351706036745
TRIG2,2,41,Photon,3.16E14,0.0006561679790026247
TRIG3,147,191,Proton,3.16E15,0.09580052493438321
TRIG1,2,144,Proton,1E15,0.0006561679790026247
TRIG1,7,267,Carbon,3.16E14,0.003937007874015748
TRIG3,4,610,Proton,1E15,0.001968503937007874
TRIG2,3,130,Photon,1E15,0.0013123359580052493
TRIG3,22,487,Proton,3.16E14,0.013779527559055118
TRIG2,1,348,Proton,1E15,0.0
TRIG3,9,494,Proton,1E15,0.005249343832020997
TRIG2,45,177,Proton,1E15,0.028871391076115485
TRIG2,15,120,Proton,3.16E15,0.009186351706036745
TRIG1,1,67,Carbon,3.16E15,0.0
TRIG1,30,100,Proton,3.16E15,0.019028871391076115
TRIG2,27,217,Iron,3.16E15,0.01706036745406824
TRIG1,14,127,Oxygen,1E15,0.00853018372703412
TRIG1,67,914,Photon,1E15,0.04330708661417323
TRIG3,35,933,Proton,1E15,0.02230971128608924
TRIG3,18,829,Proton,1E15,0.01115485564304462
TRIG3,8,718,Photon,3.16E14,0.004593175853018373
TRIG3,23,94,Carbon,1E15,0.014435695538057743
TRIG1,25,100,Oxygen,1E15,0.015748031496062992
TRIG3,57,4,Iron,3.16E15,0.03674540682414698
TRIG2,8,207,Oxygen,1E15,0.004593175853018373
TRIG1,4,328,Carbon,3.16E14,0.001968503937007874
TRIG2,5,251,Carbon,3.16E14,0.0026246719160104987
TRIG3,5,178,Carbon,1E15,0.0026246719160104987
TRIG1,15,139,Nitrogen,1E15,0.009186351706036745
TRIG1,604,155,Proton,3.16E15,0.3956692913385827
TRIG2,54,311,Photon,1E15,0.03477690288713911
TRIG1,1,791,Photon,1E14,0.0
TRIG3,16,486,Proton,1E15,0.00984251968503937
TRIG1,53,106,Proton,1E15,0.03412073490813648
TRIG2,2,842,Proton,3.16E14,0.0006561679790026247
TRIG1,45,845,Photon,1E15,0.028871391076115485
TRIG1,1,546,Photon,1E14,0.0
TRIG3,4,91,Iron,3.16E15,0.001968503937007874
TRIG1,191,861,Photon,1E15,0.12467191601049868
TRIG3,15,740,Photon,1E15,0.009186351706036745
TRIG1,11,580,Proton,3.16E14,0.006561679790026247
TRIG1,3,122,Oxygen,3.16E14,0.0013123359580052493
TRIG3,12,667,Proton,3.16E14,0.007217847769028871
TRIG3,6,186,Iron,3.16E15,0.0032808398950131233
TRIG1,9,122,Iron,1E15,0.005249343832020997
TRIG3,77,26,Nitrogen,3.16E15,0.049868766404199474
TRIG2,4,179,Nitrogen,1E15,0.001968503937007874
TRIG2,15,142,Nitrogen,1E15,0.009186351706036745
